Designator,Footprint,Quantity,Value,LCSC Part #
C1,0402,1,10n,
"C10, C11",0805,2,22u,
"C12, C13, C14, C16, C17, C18, C19, C4, C5, C6, C7",0402,11,100n,
"C15, C20, C21",0603,3,10u,
"C2, C3",0402,2,1u,
"C8, C9",0402,2,15p,
D1,0603,1,GREEN,
D3,0603,1,RED,
D4,0603,1,RED_SD,
D5,0603,1,YELLOW,
F2,FUSC2214X100N,1,0ZCK0020FF2G,
FB1,0603,1,120R,
"H1, H2, H3, H4",ToolingHole,4,MountingHole,
H5,2894,1,2894,
IC1,SOIC127P600X175-16N,1,"74HC4050D,653",C43181
J1,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x03_Pin,C5160786
J2,PinHeader_1x05_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x05_Pin,
J5,L717SDE09P1ACH,1,L717SDE09P1ACH,
J6,5025700893,1,Micro_SD_Card_Det1,C429846
J8,USB-MINI-10033526-N3212LF,1,USB_B_Mini,C428494
Q1,SOT-23,1,MMBT3904,
Q2,SOT-23,1,MMBT3906,
"R1, R21, R22, R3, R4, R5, R6",0402,7,10k,
"R10, R7",0402,2,DNP,
"R11, R24, R25, R28",0402,4,0R,
"R12, R18, R2, R23, R26",0402,5,1k5,
"R13, R14, R15, R16, R17, R19, R20",0402,7,47k,
"R27, R8",0402,2,330R,
R9,0805,1,0R,
SW1,SW_DIP_SPSTx04_Slide_Omron_A6H-4101_W6.15mm_P1.27mm,1,SW_DIP_x04,
SW2,DPDT-SMD-MS-22D28G2-B,1,SW_DPDT_x2,C2939266
"TP1, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP2, TP22, TP25, TP27, TP29, TP3, TP30, TP33, TP34, TP35, TP4, TP5, TP6, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,25,TestPoint,
U1,LQFP-32_7x7mm_P0.8mm,1,STM32F303K8T6,C118318
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C351784
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,MAX3232,C193666
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,PCF8523T,C2651516
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C279610
Y2,Crystal_SMD_2012-2Pin_2.0x1.2mm,1,32.768,C252397
