Designator,Mid X,Mid Y,Rotation,Layer
C1,154.25,-95.5,270.0,top
C10,119.75,-82.96,90.0,top
C11,124.0,-78.01,180.0,top
C12,173.02,-97.0,0.0,top
C13,181.735,-104.225,270.0,top
C14,180.5,-95.0,270.0,top
C15,159.338,-97.645,270.0,top
C16,158.062,-84.789,270.0,top
C17,149.5,-94.25,270.0,top
C18,171.75,-76.5,270.0,top
C19,169.75,-87.9,0.0,top
C2,157.814,-97.096,270.0,top
C20,138.015,-87.22,90.0,top
C21,141.015,-87.715,270.0,top
C3,160.862,-95.6,270.0,top
C4,177.6,-95.0,90.0,top
C5,179.1,-96.75,180.0,top
C6,175.75,-97.0,180.0,top
C7,147.02,-94.25,180.0,top
C8,151.38,-97.106,0.0,top
C9,153.666,-97.106,0.0,top
D1,111.1,-110.0,90.0,top
D3,128.0,-110.04,270.0,top
D4,122.093332,-110.0,90.0,top
D5,116.186666,-109.9625,90.0,top
F2,119.75,-87.01,90.0,top
FB1,158.6015,-95.346,180.0,top
H1,205.0,-111.5,0.0,top
H2,205.0,-73.25,0.0,top
H3,106.0,-111.5,0.0,top
H4,106.0,-73.25,0.0,top
H5,140.28,-104.8,0.0,top
IC1,167.025,-81.595,180.0,top
J1,174.75,-109.5,270.0,top
J2,154.21,-76.25,270.0,top
J5,194.58,-97.785,90.0,top
J6,183.212,-79.15,0.0,top
J8,108.25,-90.75,270.0,top
Q1,124.5,-103.3125,270.0,top
Q2,118.8,-103.1875,270.0,top
R1,147.01,-93.0,0.0,top
R10,179.0,-95.0,90.0,top
R11,120.25,-98.99,90.0,top
R12,123.0,-99.0,90.0,top
R13,165.6,-88.2,180.0,top
R14,171.8,-85.51,90.0,top
R15,171.75,-82.76,90.0,top
R16,171.75,-79.25,270.0,top
R17,181.0,-89.49,90.0,top
R18,124.0,-110.0,90.0,top
R19,165.25,-99.01,0.0,top
R2,112.75,-110.0,90.0,top
R20,165.25,-96.2,0.0,top
R21,146.6,-89.2,270.0,top
R22,146.6,-91.29,90.0,top
R23,139.515,-87.43,270.0,top
R24,163.4,-88.2,0.0,top
R25,178.5,-89.49,90.0,top
R26,118.75,-98.99,90.0,top
R27,118.0,-110.0,90.0,top
R28,158.0,-104.26,90.0,top
R3,144.26,-79.75,0.0,top
R4,143.19,-84.45,180.0,top
R5,143.702513,-82.99,90.0,top
R6,143.19,-80.95,180.0,top
R7,121.75,-99.0,270.0,top
R8,129.5,-110.01,90.0,top
R9,119.75,-90.76,90.0,top
SW1,137.795,-76.975,270.0,top
SW2,191.6,-95.3,270.0,top
U1,153.75,-89.25,90.0,top
U2,125.65,-83.01,0.0,top
U3,175.735,-101.725,270.0,top
U4,138.515,-91.995,0.0,top
Y1,152.65,-99.9,0.0,top
Y2,133.43,-90.65,270.0,top
